"File","MLP_macro","MLP_micro","MLP_weighted","LR_macro","LR_micro","LR_weighted","DT_macro","DT_micro","DT_weighted","SVC_macro","SVC_micro","SVC_weighted","Max","Average","Average 2","Average weighted","Average micro","Average macro"
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_cont/dfearr0.08_0.08.csv",0.440627177700348,0.628571428571429,0.653897461423594,0.135849056603774,0.514285714285714,0.679245283018868,0.169444444444444,0.457142857142857,0.567460317460317,0.267399267399267,0.514285714285714,0.540973312401884,0.679245283018868,0.464098502894851,0.569482761073797,0.610394093576166,0.528571428571429,0.253329986536958
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_cont/dfearr0.06_0.0.csv",0.334035087719298,0.6,0.653634085213033,0.322779922779923,0.6,0.658135686707115,0.150802139037433,0.428571428571429,0.532620320855615,0.364920634920635,0.542857142857143,0.556371882086168,0.658135686707115,0.478727360895649,0.571523818286313,0.600190493715483,0.542857142857143,0.293134446114322
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_cont/dfearr0.08_0.06.csv",0.275070028011204,0.457142857142857,0.464185674269708,0.16969696969697,0.514285714285714,0.652813852813853,0.130769230769231,0.485714285714286,0.653846153846154,0.363125763125763,0.514285714285714,0.53240886098029,0.653846153846154,0.434445425411812,0.534335389167322,0.575813635477501,0.492857142857143,0.234665497900792
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_cont/dfearr0.06_0.1.csv",0.316363636363636,0.542857142857143,0.615064935064935,0.136,0.485714285714286,0.621714285714286,0.122448979591837,0.428571428571429,0.542274052478134,0.325396825396825,0.485714285714286,0.519047619047619,0.621714285714286,0.428430623042868,0.530119754395265,0.574525223076244,0.485714285714286,0.225052360338074
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_cont/dfearr0.06_0.02.csv",0.422222222222222,0.542857142857143,0.563492063492064,0.286031746031746,0.542857142857143,0.594240362811791,0.214443084455324,0.514285714285714,0.591991606924287,0.347619047619048,0.514285714285714,0.512925170068027,0.594240362811791,0.470604251492519,0.547116864697735,0.565662300824042,0.528571428571429,0.317579025082085
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_cont/dfearr0.06_0.04.csv",0.238771929824561,0.457142857142857,0.500802005012531,0.204968944099379,0.542857142857143,0.623957409050577,0.264253393665158,0.571428571428571,0.604007756948934,0.331111111111111,0.485714285714286,0.504761904761905,0.623957409050577,0.444148109301418,0.5363339916146,0.558382268943487,0.514285714285714,0.259776344675052
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_cont/dfearr0.06_0.08.csv",0.322779922779923,0.542857142857143,0.563044677330392,0.136170212765957,0.457142857142857,0.583586626139818,0.127659574468085,0.428571428571429,0.547112462006079,0.305347985347985,0.457142857142857,0.49193092621664,0.583586626139818,0.413612222730764,0.508923622175902,0.546418672923232,0.471428571428572,0.222989423840488
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_cont/dfearr0.08_0.0.csv",0.369094304388422,0.514285714285714,0.509750566893424,0.254545454545454,0.628571428571429,0.71038961038961,0.274509803921569,0.628571428571429,0.685714285714286,0.158029878618114,0.285714285714286,0.202120848339336,0.71038961038961,0.435108134162756,0.520639771059939,0.526993827834164,0.514285714285714,0.26404486036839
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_cont/dfearr0.04_0.06.csv",0.275287892934952,0.457142857142857,0.4984393757503,0.139393939393939,0.428571428571429,0.531948051948052,0.191860465116279,0.485714285714286,0.616611295681063,0.183755183755184,0.371428571428571,0.412992584421156,0.616611295681063,0.382762160988172,0.475356056332214,0.514997826950143,0.435714285714286,0.197574370300089
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_cont/dfearr0.08_0.1.csv",0.263181818181818,0.4,0.39512987012987,0.32979242979243,0.428571428571429,0.438792953078667,0.130769230769231,0.485714285714286,0.653846153846154,0.413333333333333,0.571428571428571,0.571428571428571,0.653846153846154,0.423499053856197,0.493113979274694,0.514799387120816,0.471428571428572,0.284269203019203
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_cont/dfearr0.04_0.1.csv",0.19859943977591,0.4,0.401632653061224,0.297619047619048,0.514285714285714,0.546712018140589,0.108974358974359,0.485714285714286,0.653846153846154,0.180263157894737,0.4,0.43609022556391,0.653846153846154,0.385311421239661,0.479785131326485,0.509570262652969,0.45,0.196364001066014
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_cont/dfearr0.1_0.0.csv",0.358033794162826,0.485714285714286,0.496984858459513,0.352727272727273,0.485714285714286,0.49595547309833,0.28,0.485714285714286,0.488380952380952,0.19349593495935,0.457142857142857,0.554936120789779,0.554936120789779,0.427900010071978,0.493817889876786,0.509064351182144,0.478571428571429,0.296064250462362
