"File","MLP_macro","MLP_micro","MLP_weighted","LR_macro","LR_micro","LR_weighted","DT_macro","DT_micro","DT_weighted","SVC_macro","SVC_micro","SVC_weighted","Max","Average","Average2","Average weighted","Average micro","Average macro"
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfmrr_cont/dffmrr0.08_0.0.csv",0.267167919799499,0.628571428571429,0.667311134980308,0.29417211328976,0.657142857142857,0.6803081232493,0.140740740740741,0.542857142857143,0.703703703703704,0.240656040656041,0.485714285714286,0.476661716661717,0.703703703703704,0.482083933947232,0.605283799110093,0.631996169648757,0.578571428571429,0.23568420362151
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfmrr_cont/dffmrr0.08_0.08.csv",0.244764267990074,0.371428571428571,0.353463310882666,0.188444444444444,0.542857142857143,0.670984126984127,0.135849056603774,0.514285714285714,0.679245283018868,0.362051282051282,0.542857142857143,0.592820512820513,0.679245283018868,0.433254238018693,0.533492725641843,0.574128308426544,0.492857142857143,0.232777262772393
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfmrr_cont/dffmrr0.08_0.06.csv",0.189775910364146,0.371428571428571,0.374309723889556,0.226938775510204,0.571428571428571,0.685014577259475,0.165,0.457142857142857,0.564285714285714,0.283392060136246,0.571428571428571,0.636356924729018,0.685014577259475,0.424708521466911,0.528924438949042,0.564991735040941,0.492857142857143,0.216276686502649
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfmrr_cont/dffmrr0.06_0.1.csv",0.203106852497096,0.457142857142857,0.501841712294674,0.161094224924012,0.485714285714286,0.588623534520191,0.113207547169811,0.514285714285714,0.679245283018868,0.158730158730159,0.4,0.434013605442177,0.679245283018868,0.39141714797832,0.507608374052346,0.550931033818978,0.464285714285714,0.15903469583027
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfmrr_cont/dffmrr0.06_0.02.csv",0.24468524251806,0.457142857142857,0.482989827509951,0.256707127295363,0.514285714285714,0.568654128317994,0.192028985507246,0.485714285714286,0.634782608695652,0.225396825396825,0.457142857142857,0.496598639455782,0.634782608695652,0.418010758248549,0.512163864783137,0.545756300994845,0.478571428571429,0.229704545179373
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfmrr_cont/dffmrr0.08_0.04.csv",0.241269841269841,0.571428571428571,0.624036281179138,0.177333333333333,0.542857142857143,0.667809523809524,0.24093567251462,0.485714285714286,0.490726817042606,0.139102564102564,0.257142857142857,0.230769230769231,0.667809523809524,0.38909384343031,0.48381058874292,0.503335463200125,0.464285714285714,0.19966035280509
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfmrr_cont/dffmrr0.08_0.1.csv",0.168770764119601,0.4,0.479924062648315,0.283760683760684,0.457142857142857,0.478998778998779,0.130769230769231,0.485714285714286,0.653846153846154,0.238477209065444,0.342857142857143,0.345185346866019,0.653846153846154,0.372120542982376,0.455458578509194,0.489488585589817,0.421428571428571,0.20544447192874
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfmrr_cont/dffmrr0.06_0.08.csv",0.169191919191919,0.457142857142857,0.516017316017316,0.161094224924012,0.485714285714286,0.588623534520191,0.134654471544715,0.428571428571429,0.491637630662021,0.111528822055138,0.314285714285714,0.34156820622986,0.588623534520191,0.350002534238288,0.452945121642959,0.484461671857347,0.421428571428572,0.144117359428946
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfmrr_cont/dffmrr0.1_0.04.csv",0.238773946360153,0.314285714285714,0.323721948549535,0.165789473684211,0.371428571428571,0.454135338345865,0.244518272425249,0.514285714285714,0.6374940673944,0.246315789473684,0.428571428571429,0.50546365914787,0.6374940673944,0.370398660329366,0.443673305251137,0.480203753359418,0.407142857142857,0.223849370485824
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfmrr_cont/dffmrr0.06_0.0.csv",0.306970731426267,0.428571428571429,0.438386606911367,0.283783783783784,0.571428571428571,0.661776061776062,0.155555555555556,0.428571428571429,0.531428571428571,0.282539682539683,0.314285714285714,0.272925170068027,0.661776061776062,0.389685275528872,0.455921694130146,0.476129102546007,0.435714285714286,0.257212438326322
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfmrr_cont/dffmrr0.08_0.02.csv",0.164705882352941,0.4,0.366386554621849,0.259335038363171,0.657142857142857,0.731384727804165,0.279160739687055,0.514285714285714,0.497500508026824,0.197895622895623,0.342857142857143,0.295324675324675,0.731384727804165,0.392164955280168,0.475610272507903,0.472649116444378,0.478571428571429,0.225274320824697
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfmrr_cont/dffmrr0.06_0.04.csv",0.191596638655462,0.4,0.437647058823529,0.138377302140368,0.457142857142857,0.544947735191638,0.120634920634921,0.428571428571429,0.553650793650794,0.153453689167975,0.314285714285714,0.303846153846154,0.553650793650794,0.337012857675903,0.430011467689014,0.460022935378029,0.4,0.151015637649682
