"File","MLP_macro","MLP_micro","MLP_weighted","LR_macro","LR_micro","LR_weighted","DT_macro","DT_micro","DT_weighted","SVC_macro","SVC_micro","SVC_weighted","Max","Average","Averag2"
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_bin_evaluation/dfearr0.0_0.0.csv",0.257309941520468,0.628571428571429,0.749874686716792,0.242424242424242,0.571428571428571,0.664935064935065,0.342564102564103,0.571428571428571,0.625758241758242,0.257309941520468,0.628571428571429,0.749874686716792,0.749874686716792,0.524170909013014,0.648805335015861
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_bin_evaluation/dfearr0.0_0.04.csv",0.271111111111111,0.514285714285714,0.648761904761905,0.396871945259042,0.542857142857143,0.569752827817344,0.435897435897436,0.628571428571429,0.683516483516484,0.269143043336592,0.371428571428571,0.387543639156542,0.683516483516484,0.476645103999943,0.543339714049391
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_bin_evaluation/dfearr0.08_0.04.csv",0.226415094339623,0.514285714285714,0.679245283018868,0.226415094339623,0.514285714285714,0.679245283018868,0.226415094339623,0.514285714285714,0.679245283018868,0.226415094339623,0.514285714285714,0.679245283018868,0.679245283018868,0.473315363881402,0.596765498652291
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_bin_evaluation/dfearr0.02_0.0.csv",0.282913165266106,0.542857142857143,0.673709483793517,0.354256854256854,0.542857142857143,0.604452690166976,0.226415094339623,0.514285714285714,0.679245283018868,0.337147215865751,0.542857142857143,0.619679633867277,0.679245283018868,0.493389713619343,0.589993029212973
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_bin_evaluation/dfearr0.08_0.02.csv",0.226415094339623,0.514285714285714,0.679245283018868,0.226415094339623,0.514285714285714,0.679245283018868,0.217948717948718,0.485714285714286,0.635164835164835,0.226415094339623,0.514285714285714,0.679245283018868,0.679245283018868,0.466555509480038,0.587684014099108
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_bin_evaluation/dfearr0.06_0.1.csv",0.35072463768116,0.542857142857143,0.590310559006211,0.342995169082126,0.542857142857143,0.594616977225673,0.226415094339623,0.514285714285714,0.679245283018868,0.35072463768116,0.542857142857143,0.590310559006211,0.679245283018868,0.489016671658181,0.574667565139263
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_bin_evaluation/dfearr0.08_0.08.csv",0.217948717948718,0.485714285714286,0.635164835164835,0.226415094339623,0.514285714285714,0.679245283018868,0.26530612244898,0.485714285714286,0.582507288629738,0.226415094339623,0.514285714285714,0.679245283018868,0.679245283018868,0.459353976575771,0.572020336229039
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_bin_evaluation/dfearr0.06_0.04.csv",0.328619528619529,0.514285714285714,0.552727272727273,0.226415094339623,0.514285714285714,0.679245283018868,0.226415094339623,0.514285714285714,0.679245283018868,0.307359307359307,0.485714285714286,0.521706864564008,0.679245283018868,0.462525429713211,0.557687016487556
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_bin_evaluation/dfearr0.06_0.06.csv",0.328619528619529,0.514285714285714,0.552727272727273,0.369444444444444,0.6,0.664285714285714,0.353934481594056,0.571428571428571,0.629439861050803,0.322222222222222,0.514285714285714,0.557142857142857,0.664285714285714,0.498151365173908,0.575449463150831
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_bin_evaluation/dfearr0.06_0.02.csv",0.528926593613762,0.628571428571429,0.649568247235267,0.217948717948718,0.485714285714286,0.653846153846154,0.346666666666667,0.485714285714286,0.626285714285714,0.209150326797386,0.457142857142857,0.60952380952381,0.653846153846154,0.491588257255028,0.574545847754225
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_bin_evaluation/dfearr0.02_0.02.csv",0.274285714285714,0.514285714285714,0.649306122448979,0.274285714285714,0.514285714285714,0.649306122448979,0.264615384615385,0.485714285714286,0.607824175824176,0.217948717948718,0.485714285714286,0.653846153846154,0.653846153846154,0.465951508808652,0.570035321821036
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_bin_evaluation/dfearr0.08_0.0.csv",0.287862513426423,0.514285714285714,0.615129660886911,0.217948717948718,0.485714285714286,0.653846153846154,0.217948717948718,0.485714285714286,0.653846153846154,0.217948717948718,0.485714285714286,0.653846153846154,0.653846153846154,0.457483780093877,0.568512086731743
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dearr_bin_evaluation/dfearr0.08_0.06.csv",0.217948717948718,0.485714285714286,0.653846153846154,0.217948717948718,0.485714285714286,0.653846153846154,0.363046757164404,0.485714285714286,0.51972850678733,0.217948717948718,0.485714285714286,0.653846153846154,0.653846153846154,0.453418085182791,0.553015513897867
