"File","MLP_macro","MLP_micro","MLP_weighted","LR_macro","LR_micro","LR_weighted","DT_macro","DT_micro","DT_weighted","SVC_macro","SVC_micro","SVC_weighted","Max","Average","Average2"
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfwrr_cont/dffwrr0.06_0.02.csv",0.517460317460317,0.6,0.616326530612245,0.621918621918622,0.742857142857143,0.767737282022996,0.576826826826827,0.628571428571429,0.642492492492493,0.49647266313933,0.571428571428571,0.586167800453515,0.767737282022996,0.614021639815291,0.644447656054799
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfwrr_cont/dffwrr0.06_0.0.csv",0.482148815482149,0.542857142857143,0.561046761046761,0.514157014157014,0.714285714285714,0.767512410369553,0.485042735042735,0.571428571428571,0.590659340659341,0.445400238948626,0.514285714285714,0.519406041986687,0.767512410369553,0.559019208379167,0.597685212114936
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfwrr_cont/dffwrr0.08_0.0.csv",0.413747080413747,0.571428571428571,0.573830973830974,0.489459815546772,0.714285714285714,0.75511010728402,0.504901960784314,0.714285714285714,0.73655462184874,0.243297318927571,0.457142857142857,0.566489452924027,0.75511010728402,0.561711182391918,0.636141001628827
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfwrr_cont/dffwrr0.0_0.0.csv",0.457516339869281,0.514285714285714,0.487394957983193,0.246913580246914,0.571428571428571,0.698412698412698,0.25,0.6,0.75,0.246666666666667,0.342857142857143,0.344571428571429,0.75,0.459170591693467,0.538618814192344
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfwrr_cont/dffwrr0.02_0.02.csv",0.379157427937916,0.542857142857143,0.565663604687995,0.421975058982137,0.628571428571429,0.680629784775386,0.675279106858054,0.714285714285714,0.717621326042379,0.55303910181959,0.6,0.614766882362701,0.717621326042379,0.59115388159837,0.633049485447843
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfwrr_cont/dffwrr0.04_0.04.csv",0.555283648498332,0.6,0.60735420308279,0.58289241622575,0.685714285714286,0.716628873771731,0.2,0.428571428571429,0.6,0.509103641456583,0.6,0.629891956782713,0.716628873771731,0.559620037841968,0.608520093490369
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfwrr_cont/dffwrr0.02_0.0.csv",0.444444444444444,0.542857142857143,0.568707482993197,0.439393939393939,0.657142857142857,0.714285714285714,0.304232804232804,0.428571428571429,0.438775510204082,0.391461549158671,0.542857142857143,0.631885094463317,0.714285714285714,0.508717925883728,0.56563529667186
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfwrr_cont/dffwrr0.08_0.04.csv",0.510898458266879,0.6,0.579722032353611,0.401760704281713,0.628571428571429,0.704510375578803,0.360606060606061,0.542857142857143,0.586493506493506,0.442857142857143,0.6,0.608571428571429,0.704510375578803,0.547237356703143,0.60634073930324
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfwrr_cont/dffwrr0.06_0.08.csv",0.322222222222222,0.485714285714286,0.517142857142857,0.39320029563932,0.542857142857143,0.556984478935698,0.454545454545455,0.657142857142857,0.703896103896104,0.550897435897436,0.6,0.575978021978022,0.703896103896104,0.530048429664283,0.579964468458371
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfwrr_cont/dffwrr0.06_0.04.csv",0.42,0.6,0.62,0.42,0.6,0.62,0.507775524002705,0.685714285714286,0.67487684729064,0.418142280211246,0.6,0.630861403275196,0.685714285714286,0.566447528374506,0.628931567035015
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfwrr_cont/dffwrr0.04_0.02.csv",0.568627450980392,0.657142857142857,0.66890756302521,0.489495798319328,0.571428571428571,0.57358943577431,0.401785714285714,0.514285714285714,0.495918367346939,0.351739618406285,0.4,0.396767676767677,0.66890756302521,0.50747406398025,0.53475502322141
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfwrr_cont/dffwrr0.06_0.06.csv",0.358974358974359,0.514285714285714,0.536263736263736,0.352982456140351,0.485714285714286,0.487338345864662,0.471590909090909,0.657142857142857,0.667532467532467,0.365128205128205,0.514285714285714,0.527824175824176,0.667532467532467,0.49492193552062,0.548798412114202
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfwrr_cont/dffwrr0.1_0.08.csv",0.455921855921856,0.485714285714286,0.465954997383569,0.659498207885305,0.657142857142857,0.658064516129032,0.190476190476191,0.4,0.571428571428571,0.402576489533011,0.514285714285714,0.584817115251898,0.659498207885305,0.503823400096024,0.542176007166991
"/home/d19125691/Documents/Experiments/ontologyDCQ/onto-DCQ-FS_git/optimalalphabeta/dfwrr_cont/dffwrr0.06_0.1.csv",0.551572167132808,0.657142857142857,0.650379572118703,0.351950354609929,0.542857142857143,0.587537993920973,0.504234234234234,0.6,0.59796138996139,0.402711323763955,0.571428571428571,0.592276144907724,0.657142857142857,0.550837646006524,0.59994795904217
