"File","FeatureAlgo","Accuracy","Precision macro","Recall macro","Precision weight","Recall weight","Time FS","Features","Time ensemble","class index"
"1year.csv","GR",0.962304409672831,0.481837606837607,0.499261992619926,0.928719711614448,0.962304409672831,0.412812323003891,53,0.496487245007302,64
"1year.csv","fcbf",0.962304409672831,0.481837606837607,0.499261992619926,0.928719711614448,0.962304409672831,0.260932509001577,48,0.489690981994499,64
"1year.csv","relieff",0.963015647226174,0.648847707293894,0.509065914188554,0.941472702773674,0.963015647226174,10.6468675209908,57,0.49436606701056,64
"1year.csv","chisquare",0.963726884779516,0.481863442389758,0.5,0.928769508446831,0.963726884779516,0.02804662399285,5,0.14338942199538,64
"1year.csv","cfs",0.961593172119488,0.481824661439772,0.498892988929889,0.928694759958593,0.961593172119488,94.1022885940038,44,0.439405434997752,64
"1year.csv","multisurf",0.963015647226174,0.648847707293894,0.509065914188554,0.941472702773674,0.963015647226174,120.233449488005,57,0.527345091002644,64
"1year.csv","MI",0.960881934566145,0.481811697574893,0.498523985239852,0.928669772708364,0.960881934566145,1.47060917799536,34,0.432554061000701,64
"1year.csv","mrmr",0.963726884779516,0.481863442389758,0.5,0.928769508446831,0.963726884779516,5.65686058299616,11,0.151906856001006,64
"1year.csv","relief",0.960170697012802,0.619159335288368,0.526459735185587,0.940459057606766,0.960170697012802,0.327820228994824,6,0.195328469009837,64
"2year.csv","GR",0.964127764127764,0.607767109798129,0.506278506066952,0.940569635030492,0.964127764127764,0.577726139003062,49,0.755260047997581,64
"2year.csv","fcbf",0.97002457002457,0.984938271604938,0.570422535211268,0.9709275335942,0.97002457002457,0.334982535001473,41,0.715990682001575,64
"2year.csv","relieff",0.964619164619164,0.649442257217848,0.506533088551677,0.943493457666686,0.964619164619164,15.4635767489963,58,0.772974371007877,64
"2year.csv","chisquare",0.964619164619164,0.482546705998034,0.499745417515275,0.931421848236008,0.964619164619164,0.029815576010151,3,0.151228172995616,64
"2year.csv","cfs",0.964127764127764,0.482538121003443,0.49949083503055,0.931405277298047,0.964127764127764,133.100594673,34,0.713063550996594,64
"2year.csv","multisurf",0.964619164619164,0.649442257217848,0.506533088551677,0.943493457666686,0.964619164619164,462.341858865999,58,0.768214090989204,64
"2year.csv","MI",0.964619164619164,0.482546705998034,0.499745417515275,0.931421848236008,0.964619164619164,2.17077632900327,28,0.626144811001723,64
"2year.csv","mrmr",0.965110565110565,0.482555282555283,0.5,0.931438402888034,0.965110565110565,8.11681916700036,11,0.307661359009217,64
"2year.csv","relief",0.962162162162162,0.608193277310924,0.518835518200855,0.941392232568703,0.962162162162162,0.435970329999691,4,0.09085259999847,64
"3year.csv","GR",0.950499762018087,0.975214489990467,0.514018691588785,0.952953539306036,0.950499762018087,0.607667212010711,48,0.788156550013809,64
"3year.csv","fcbf",0.947643979057592,0.574713740458015,0.50366988816918,0.911260541145438,0.947643979057592,0.747393897006987,40,0.703916105994722,64
"3year.csv","relieff",0.94859590671109,0.47452380952381,0.49974924774323,0.900714399039006,0.94859590671109,16.4592239279882,58,0.821414720994653,64
"3year.csv","chisquare",0.949071870537839,0.47453593526892,0.5,0.900737415446193,0.949071870537839,0.036907608999172,3,0.970623373999842,64
"3year.csv","cfs",0.947643979057592,0.61778550961932,0.508092033108672,0.916033200960968,0.947643979057592,136.139863830002,37,0.695289347000653,64
"3year.csv","multisurf",0.94859590671109,0.47452380952381,0.49974924774323,0.900714399039006,0.94859590671109,462.22314894099,58,0.804222752005444,64
"3year.csv","MI",0.947643979057592,0.574713740458015,0.50366988816918,0.911260541145438,0.947643979057592,2.30580846400699,29,0.683890191998216,64
"3year.csv","mrmr",0.949071870537839,0.47453593526892,0.5,0.900737415446193,0.949071870537839,5.77879808700527,20,0.616553195010056,64
"3year.csv","relief",0.949071870537839,0.47453593526892,0.5,0.900737415446193,0.949071870537839,0.429462798987515,4,0.168171710000024,64
"4year.csv","GR",0.945890760592139,0.656407504200112,0.517531699866086,0.918392092974104,0.945890760592139,0.556424157010042,47,0.663201857998502,64
"4year.csv","fcbf",0.948953547728433,0.77582304526749,0.542072941078005,0.933157296596693,0.948953547728433,0.328890223987401,43,0.643417339990265,64
"4year.csv","relieff",0.945380296069423,0.684302325581395,0.54477213759625,0.923794571664866,0.945380296069423,14.2081160550006,58,0.756768464998459,64
"4year.csv","chisquare",0.94691168963757,0.473697650663943,0.499730603448276,0.897583297225398,0.94691168963757,0.028097050992074,10,0.359721476997947,64
"4year.csv","cfs",0.94691168963757,0.696837606837607,0.518070492969535,0.922690191664158,0.94691168963757,129.481618461999,39,0.576117503005662,64
"4year.csv","multisurf",0.948953547728433,0.759364893999281,0.560412830599264,0.933096681760495,0.948953547728433,490.367244053006,60,0.833759098997689,64
"4year.csv","MI",0.947932618683002,0.735822762194033,0.569043982256445,0.93141906857234,0.947932618683002,2.05332262598677,27,0.565006176999304,64
"4year.csv","mrmr",0.947422154160286,0.473711077080143,0.5,0.897608738193716,0.947422154160286,5.60417346800386,14,0.381691243994283,64
"4year.csv","relief",0.945890760592139,0.573899692937564,0.503776782725142,0.908481705045552,0.945890760592139,0.4217132019985,4,0.185319197000354,64
"5year.csv","GR",0.922165820642978,0.650447189097104,0.514377289377289,0.883948105742872,0.922165820642978,0.336323490002542,51,0.360673516988754,64
"5year.csv","fcbf",0.926395939086294,0.863466440101954,0.521764346764347,0.917267940086859,0.926395939086294,0.216157235001447,44,0.385456541000167,64
"5year.csv","relieff",0.923857868020304,0.712648556876061,0.51019536019536,0.892914084786225,0.923857868020304,7.95109226900968,58,0.458851176997996,64
