"File","MLP_macro","MLP_micro","MLP_weighted","LR_macro","LR_micro","LR_weighted","DT_macro","DT_micro","DT_weighted","SVC_macro","SVC_micro","SVC_weighted"
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_bin/dffwrr0.02_0.08.csv",0.066287878787879,0.171428571428571,0.226406926406926,0.081213450292398,0.114285714285714,0.133868003341688,0.054166666666667,0.171428571428571,0.253333333333333,0.057453416149068,0.085714285714286,0.103992901508429
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_bin/dffwrr0.0_0.1.csv",0.042009842009842,0.085714285714286,0.113819513819514,0.142352092352092,0.171428571428571,0.169666048237477,0.137981118373275,0.171428571428571,0.189729225023343,0.142416225749559,0.171428571428571,0.174036281179138
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_bin/dffwrr0.08_0.1.csv",0.128792569659443,0.314285714285714,0.421229544449359,0.1,0.285714285714286,0.4,0.242205513784461,0.371428571428571,0.412717508055854,0.097560975609756,0.285714285714286,0.40418118466899
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_bin/dffwrr0.06_0.04.csv",0.214048531289911,0.428571428571429,0.535595694216384,0.188888888888889,0.371428571428571,0.458730158730159,0.269230769230769,0.4,0.435164835164835,0.170833333333333,0.342857142857143,0.429761904761905
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_bin/dffwrr0.1_0.0.csv",0.186234817813765,0.428571428571429,0.529786003470214,0.218888888888889,0.485714285714286,0.597142857142857,0.213131313131313,0.457142857142857,0.552958152958153,0.197417503586801,0.457142857142857,0.56987087517934
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_bin/dffwrr0.1_0.02.csv",0.195533498759305,0.4,0.489613612194257,0.237878787878788,0.485714285714286,0.596320346320346,0.205194805194805,0.428571428571429,0.528014842300557,0.237878787878788,0.485714285714286,0.596320346320346
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_bin/dffwrr0.08_0.0.csv",0.17972027972028,0.428571428571429,0.55044955044955,0.201829268292683,0.457142857142857,0.574912891986063,0.156390977443609,0.342857142857143,0.409022556390978,0.203809523809524,0.457142857142857,0.575238095238095
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_bin/dffwrr0.02_0.04.csv",0.0796875,0.257142857142857,0.350357142857143,0.088932806324111,0.228571428571429,0.274195369847544,0.0375,0.085714285714286,0.094285714285714,0.115530303030303,0.342857142857143,0.448051948051948
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_bin/dffwrr0.1_0.06.csv",0.170833333333333,0.342857142857143,0.429761904761905,0.201025641025641,0.4,0.497435897435897,0.215225806451613,0.428571428571429,0.534930875576037,0.186666666666667,0.371428571428571,0.462585034013605
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_bin/dffwrr0.08_0.04.csv",0.158333333333333,0.314285714285714,0.39047619047619,0.201317523056653,0.4,0.497496706192358,0.214358974358974,0.428571428571429,0.535531135531136,0.1875,0.371428571428571,0.460714285714286
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_bin/dffwrr0.06_0.0.csv",0.158102766798419,0.428571428571429,0.572106154714851,0.203809523809524,0.457142857142857,0.575238095238095,0.207001044932079,0.342857142857143,0.387729511867443,0.203809523809524,0.457142857142857,0.575238095238095
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_bin/dffwrr0.04_0.04.csv",0.142857142857143,0.342857142857143,0.428571428571429,0.130952380952381,0.314285714285714,0.393877551020408,0.144516129032258,0.342857142857143,0.424258064516129,0.154700854700855,0.371428571428571,0.464468864468864
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_bin/dffwrr0.04_0.08.csv",0.068181818181818,0.257142857142857,0.409090909090909,0.084838533114395,0.2,0.269106263194933,0.186842105263158,0.342857142857143,0.408872180451128,0.063063063063063,0.2,0.302702702702703
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_bin/dffwrr0.0_0.0.csv",0.071428571428572,0.4,0.571428571428571,0.071428571428572,0.4,0.571428571428571,0.103896103896104,0.371428571428571,0.483858998144713,0.071428571428572,0.4,0.571428571428571
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_bin/dffwrr0.06_0.06.csv",0.188888888888889,0.371428571428571,0.473015873015873,0.159681697612732,0.314285714285714,0.400454717696097,0.190660225442834,0.342857142857143,0.413342535081666,0.16,0.314285714285714,0.4
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_bin/dffwrr0.04_0.1.csv",0.12363834422658,0.285714285714286,0.380672268907563,0.063063063063063,0.2,0.302702702702703,0.069767441860465,0.257142857142857,0.406644518272425,0.06140350877193,0.2,0.305263157894737
