Rule,Predicted_Class,Support,Confidence
(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst > 347.000) and (ena > -9.286) and (Conciseness <= 0.219) and (attr_ent.mean <= 2.674) and (cEntropy > 0.948) and (nr_outliers > 7.000) and (t_mean.mean > 1.372),GR,0.019021739130434784,1.0
(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst > 347.000) and (ena > -9.286) and (Conciseness <= 0.219) and (attr_ent.mean > 2.674) and (cEntropy <= 0.724),chisquare,0.03260869565217391,1.0
(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst > 347.000) and (ena > -9.286) and (Conciseness <= 0.219) and (attr_ent.mean > 2.674) and (cEntropy > 0.724) and (iq_range.mean <= 34.913) and (mean.mean <= 1.209),GR,0.005434782608695652,1.0
(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst > 347.000) and (ena > -9.286) and (Conciseness <= 0.219) and (attr_ent.mean > 2.674) and (cEntropy > 0.724) and (iq_range.mean <= 34.913) and (mean.mean > 1.209) and (nr_attr <= 9.000),fcbf,0.016304347826086956,0.6666666666666666
(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst > 347.000) and (ena > -9.286) and (Conciseness <= 0.219) and (attr_ent.mean > 2.674) and (cEntropy > 0.724) and (iq_range.mean <= 34.913) and (mean.mean > 1.209) and (nr_attr > 9.000),fcbf,0.04076086956521739,1.0
(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst > 347.000) and (ena > -9.286) and (Conciseness <= 0.219) and (attr_ent.mean > 2.674) and (cEntropy > 0.724) and (iq_range.mean > 34.913),chisquare,0.008152173913043478,1.0
(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst > 347.000) and (ena > -9.286) and (Conciseness > 0.219) and (Conciseness <= 0.404),fcbf,0.06793478260869565,1.0
(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst > 347.000) and (ena > -9.286) and (Conciseness > 0.219) and (Conciseness > 0.404) and (nr_num <= 6.000),relief,0.01358695652173913,1.0
(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst > 347.000) and (ena > -9.286) and (Conciseness > 0.219) and (Conciseness > 0.404) and (nr_num > 6.000),chisquare,0.008152173913043478,1.0
(nr_inst > 167.000) and (nUnique > 6.500) and (nr_cor_attr <= 0.052) and (g_mean.mean <= 0.221),chisquare,0.002717391304347826,1.0
(nr_inst > 167.000) and (nUnique > 6.500) and (nr_cor_attr <= 0.052) and (g_mean.mean > 0.221),relief,0.10869565217391304,1.0
(nr_inst > 167.000) and (nUnique > 6.500) and (nr_cor_attr > 0.052) and (cov.mean <= 47.722),chisquare,0.010869565217391304,1.0
(nr_inst > 167.000) and (nUnique > 6.500) and (nr_cor_attr > 0.052) and (cov.mean > 47.722),GR,0.010869565217391304,1.0
