"File","MLP_macro","MLP_micro","MLP_weighted","LR_macro","LR_micro","LR_weighted","DT_macro","DT_micro","DT_weighted","SVC_macro","SVC_micro","SVC_weighted",
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_cont/dfwrr0.02_0.02.csv",0.147591991341991,0.314285714285714,0.327551020408163,0.259615384615385,0.457142857142857,0.520879120879121,0.120879120879121,0.257142857142857,0.274411302982731,0.224200206398349,0.371428571428571,0.3718708536046,0.449964277208859
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_cont/dfwrr0.1_0.02.csv",0.295963495963496,0.542857142857143,0.569523140951712,0.264842105263158,0.6,0.667789473684211,0.226785714285714,0.485714285714286,0.518367346938776,0.276491228070175,0.485714285714286,0.546967418546366,0.612437538211974
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_cont/dfwrr0.0_0.06.csv",0.095959595959596,0.114285714285714,0.115584415584416,0.103513770180437,0.114285714285714,0.103052503052503,0.204601571268238,0.228571428571429,0.263520923520924,0.174955908289242,0.171428571428571,0.184489795918367,0.232231307786863
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_cont/dfwrr0.08_0.1.csv",0.371666666666667,0.514285714285714,0.533333333333333,0.248837209302326,0.571428571428571,0.688372093023256,0.24963144963145,0.542857142857143,0.63980343980344,0.309273182957393,0.485714285714286,0.563838166845686,0.633201368085089
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_cont/dfwrr0.04_0.0.csv",0.378646715603237,0.428571428571429,0.431319405232449,0.170654468684025,0.485714285714286,0.582828993666432,0.333333333333333,0.428571428571429,0.480952380952381,0.207625462772522,0.285714285714286,0.325473350179232,0.516498553444366
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_cont/dfwrr0.06_0.1.csv",0.233739837398374,0.428571428571429,0.487166085946574,0.246201550387597,0.542857142857143,0.660110741971207,0.198830409356725,0.314285714285714,0.323308270676692,0.33053699062471,0.485714285714286,0.480226359549668,0.563377990258308
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_cont/dfwrr0.1_0.1.csv",0.283333333333333,0.485714285714286,0.522222222222222,0.262901155327343,0.571428571428571,0.669723088208326,0.251785714285714,0.542857142857143,0.62780612244898,0.464371184371184,0.457142857142857,0.42831327402756,0.622985927361959
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_cont/dfwrr0.08_0.06.csv",0.157058823529412,0.371428571428571,0.446638655462185,0.263589743589744,0.571428571428571,0.680879120879121,0.12,0.428571428571429,0.6,0.334873949579832,0.485714285714286,0.526590636254502,0.617435897435897
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_cont/dfwrr0.02_0.04.csv",0.245941558441558,0.457142857142857,0.507050092764379,0.192315592903828,0.371428571428571,0.408334000266773,0.319791666666667,0.4,0.399285714285714,0.343402777777778,0.371428571428571,0.38468253968254,0.457508983391336
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_cont/dfwrr0.1_0.04.csv",0.261111111111111,0.571428571428571,0.612698412698413,0.276923076923077,0.628571428571429,0.7003663003663,0.245676274944568,0.571428571428571,0.643649033892936,0.238803986710963,0.457142857142857,0.544774560987185,0.657528920943555
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_cont/dfwrr0.0_0.04.csv",0.103350970017637,0.142857142857143,0.146757369614512,0.13032153032153,0.142857142857143,0.153134484563056,0.123456790123457,0.171428571428571,0.198095238095238,0.215813598166539,0.2,0.177812943359162,0.204636278753926
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_cont/dfwrr0.1_0.06.csv",0.325933014354067,0.571428571428571,0.624360902255639,0.282720178372352,0.628571428571429,0.710304188565058,0.214285714285714,0.457142857142857,0.506122448979592,0.336363636363636,0.514285714285714,0.602597402597403,0.654412173130709
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_cont/dfwrr0.06_0.0.csv",0.37962962962963,0.428571428571429,0.435714285714286,0.299832735961768,0.485714285714286,0.534043352107868,0.424175824175824,0.571428571428571,0.605494505494506,0.25,0.428571428571429,0.472527472527473,0.570322143010315
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_cont/dfwrr0.1_0.0.csv",0.290143369175627,0.514285714285714,0.523860727086533,0.259047619047619,0.571428571428571,0.642721088435374,0.274969696969697,0.485714285714286,0.499627705627706,0.369090909090909,0.457142857142857,0.441818181818182,0.57933679565016
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dfwrr_cont/dfwrr0.0_0.0.csv",0.226190476190476,0.314285714285714,0.315646258503401,0.234243697478992,0.371428571428571,0.425930372148859,0.071428571428572,0.4,0.571428571428571,0.066666666666667,0.057142857142857,0.074285714285714,0.46578631452581
