"File","MLP_macro","MLP_micro","MLP_weighted","LR_macro","LR_micro","LR_weighted","DT_macro","DT_micro","DT_weighted","SVC_macro","SVC_micro","SVC_weighted",,,
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dearr_cont/dearr0.04_0.1.csv",0.177391755250194,0.4,0.445247601763028,0.191691235593675,0.457142857142857,0.571492897346556,0.136654661864746,0.371428571428571,0.4406162464986,0.232967032967033,0.371428571428571,0.468571428571428,0.355386071654605,0.499069061020281,0.481482043544903
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dearr_cont/dearr0.02_0.06.csv",0.421527777777778,0.485714285714286,0.512857142857143,0.319940476190476,0.457142857142857,0.497959183673469,0.260929802955665,0.457142857142857,0.508233638282899,0.26155303030303,0.457142857142857,0.475555555555556,0.426308288728239,0.506349988271171,0.498651380092267
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dearr_cont/dearr0.1_0.02.csv",0.487142857142857,0.657142857142857,0.678843537414966,0.253508771929825,0.571428571428571,0.62719298245614,0.210344827586207,0.457142857142857,0.498029556650246,0.263351351351351,0.6,0.656432432432432,0.496713383556526,0.664139608996752,0.615124627238446
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dearr_cont/dearr0.02_0.04.csv",0.226543209876543,0.371428571428571,0.385238095238095,0.263690476190476,0.428571428571429,0.485578231292517,0.205892255892256,0.457142857142857,0.542587782587782,0.181944444444444,0.314285714285714,0.315873015873016,0.348231340235309,0.495102957007719,0.432319281247853
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dearr_cont/dearr0.02_0.1.csv",0.370833333333333,0.485714285714286,0.559047619047619,0.106944444444444,0.314285714285714,0.410793650793651,0.279807692307692,0.457142857142857,0.506153846153846,0.319295900178253,0.371428571428571,0.327496816908582,0.375745394311571,0.516971916971917,0.450872983225924
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dearr_cont/dearr0.0_0.02.csv",0.194418508143998,0.257142857142857,0.250633586768041,0.115824915824916,0.171428571428571,0.16969696969697,0.126190476190476,0.171428571428571,0.18469387755102,0.193345543345543,0.285714285714286,0.296855049712193,0.20144776774562,0.279904064189778,0.225469870932056
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dearr_cont/dearr0.06_0.06.csv",0.301050420168067,0.514285714285714,0.556134453781513,0.366856330014225,0.6,0.670798618167039,0.4125,0.6,0.643571428571429,0.276289682539682,0.428571428571429,0.436224489795918,0.483856880491251,0.638123348912823,0.576682247578975
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dearr_cont/dearr0.08_0.1.csv",0.322894736842105,0.6,0.645112781954887,0.196273291925466,0.514285714285714,0.625377107364685,0.251150895140665,0.514285714285714,0.575155279503106,0.167272727272727,0.428571428571429,0.502337662337662,0.445226444957013,0.623496629773191,0.586995707790085
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dearr_cont/dearr0.1_0.1.csv",0.272868217054264,0.6,0.689700996677741,0.291472868217054,0.657142857142857,0.758803986710964,0.217460317460317,0.457142857142857,0.495011337868481,0.243809523809524,0.457142857142857,0.444081632653061,0.465386454323331,0.701882613510521,0.596899488477562
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dearr_cont/dearr0.06_0.02.csv",0.425268817204301,0.542857142857143,0.564976958525346,0.348686371100164,0.514285714285714,0.531907107670654,0.267460815047022,0.371428571428571,0.361988356471115,0.31699604743083,0.428571428571429,0.419333709768492,0.424480086696732,0.546580403017714,0.469551533108902
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dearr_cont/dearr0.06_0.0.csv",0.249233716475096,0.428571428571429,0.471264367816092,0.323518518518518,0.542857142857143,0.60468253968254,0.345604395604396,0.485714285714286,0.488775510204082,0.300238095238095,0.485714285714286,0.530326530612245,0.438041734750684,0.559288737717309,0.52376223707874
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dearr_cont/dearr0.1_0.0.csv",0.554025974025974,0.628571428571429,0.630760667903525,0.282905982905983,0.628571428571429,0.71025641025641,0.297142857142857,0.542857142857143,0.582040816326531,0.225730994152047,0.485714285714286,0.525814536340852,0.507866043730705,0.656529502243788,0.612218107706829
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dearr_cont/dearr0.08_0.06.csv",0.177905308464849,0.4,0.463947530231605,0.365811965811966,0.542857142857143,0.605128205128205,0.166666666666667,0.342857142857143,0.371428571428571,0.390476190476191,0.485714285714286,0.536054421768707,0.404070619283778,0.561346589918018,0.494139682139272
"/home/d19125691/Documents/Experiments/ontologyDCQ/FeatureSelectionRecommendation/optimalalphabeta/dearr_cont/dearr0.02_0.08.csv",0.232142857142857,0.428571428571429,0.47891156462585,0.227871148459384,0.371428571428571,0.418471388555422,0.424243697478992,0.542857142857143,0.587995198079232,0.211260185892539,0.314285714285714,0.274843755684092,0.376073554421769,0.536587968520742,0.440055476736149
