Rule,Predicted_Class,Support,Confidence
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean <= 6.011) and (range.mean <= 4.282) and (cEntropy <= 0.523) and (range.mean > 0.699) and (ena <= -0.099) and (ena <= -0.170) and (min.mean <= 0.106),0,0.007228915662650603,0.3333333333333333
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean <= 6.011) and (range.mean <= 4.282) and (cEntropy <= 0.523) and (range.mean > 0.699) and (ena <= -0.099) and (ena <= -0.170) and (min.mean > 0.106),0,0.004819277108433735,0.5
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean <= 6.011) and (range.mean <= 4.282) and (cEntropy <= 0.523) and (range.mean > 0.699) and (ena <= -0.099) and (ena > -0.170),0,0.0024096385542168677,1.0
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean <= 6.011) and (range.mean <= 4.282) and (cEntropy <= 0.523) and (range.mean > 0.699) and (ena > -0.099) and (ena <= 1.218) and (ena <= -0.086),3,0.004819277108433735,0.5
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean <= 6.011) and (range.mean <= 4.282) and (cEntropy <= 0.523) and (range.mean > 0.699) and (ena > -0.099) and (ena <= 1.218) and (ena > -0.086) and (median.mean <= 5.828),0,0.007228915662650603,0.3333333333333333
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean <= 6.011) and (range.mean <= 4.282) and (cEntropy <= 0.523) and (range.mean > 0.699) and (ena > -0.099) and (ena <= 1.218) and (ena > -0.086) and (median.mean > 5.828) and (ClassOverlapPerc <= 0.002),0,0.007228915662650603,0.3333333333333333
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean <= 6.011) and (range.mean <= 4.282) and (cEntropy <= 0.523) and (range.mean > 0.699) and (ena > -0.099) and (ena <= 1.218) and (ena > -0.086) and (median.mean > 5.828) and (ClassOverlapPerc > 0.002),0,0.007228915662650603,0.3333333333333333
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean <= 6.011) and (range.mean <= 4.282) and (cEntropy <= 0.523) and (range.mean > 0.699) and (ena > -0.099) and (ena > 1.218) and (ClassOverlapPerc <= 0.000),3,0.004819277108433735,0.5
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean <= 6.011) and (range.mean <= 4.282) and (cEntropy <= 0.523) and (range.mean > 0.699) and (ena > -0.099) and (ena > 1.218) and (ClassOverlapPerc > 0.000),3,0.004819277108433735,0.5
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean <= 6.011) and (range.mean <= 4.282) and (cEntropy > 0.523),0,0.007228915662650603,0.3333333333333333
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean <= 6.011) and (range.mean > 4.282) and (attr_ent.mean <= 2.017) and (nr_cor_attr <= 0.027),0,0.004819277108433735,0.5
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean <= 6.011) and (range.mean > 4.282) and (attr_ent.mean <= 2.017) and (nr_cor_attr > 0.027) and (g_mean.mean <= 5.431),0,0.004819277108433735,0.5
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean <= 6.011) and (range.mean > 4.282) and (attr_ent.mean <= 2.017) and (nr_cor_attr > 0.027) and (g_mean.mean > 5.431),0,0.004819277108433735,0.5
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean <= 6.011) and (range.mean > 4.282) and (attr_ent.mean > 2.017) and (ena <= 0.806) and (ClassOverlapPerc <= 0.001),0,0.007228915662650603,0.3333333333333333
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean <= 6.011) and (range.mean > 4.282) and (attr_ent.mean > 2.017) and (ena <= 0.806) and (ClassOverlapPerc > 0.001) and (median.mean <= 22.845),0,0.007228915662650603,0.3333333333333333
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean <= 6.011) and (range.mean > 4.282) and (attr_ent.mean > 2.017) and (ena <= 0.806) and (ClassOverlapPerc > 0.001) and (median.mean > 22.845),0,0.007228915662650603,0.3333333333333333
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean <= 6.011) and (range.mean > 4.282) and (attr_ent.mean > 2.017) and (ena > 0.806) and (ena <= 1.766),0,0.007228915662650603,0.3333333333333333
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean <= 6.011) and (range.mean > 4.282) and (attr_ent.mean > 2.017) and (ena > 0.806) and (ena > 1.766),0,0.007228915662650603,0.3333333333333333
