"Rule","Predicted_Class","Support","Confidence"
"(nr_inst <= 167.000) and (eigenvalues.mean > 30.208) and (nr_inst > 95.000) and (attr_conc.mean <= 0.053)","GR",0.005434782608696,1
"(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst <= 347.000) and (nUnique <= 4.500) and (t_mean.mean > 11.271) and (LabelIssuesPerc > 0.061) and (kurtosis.mean <= 16.078)","chisquare",0.005434782608696,1
"(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst > 347.000) and (ena > -9.286) and (Conciseness <= 0.219) and (attr_ent.mean <= 2.674) and (cEntropy <= 0.948) and (range.mean <= 0.692)","GR",0.005434782608696,1
"(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst > 347.000) and (ena > -9.286) and (Conciseness <= 0.219) and (attr_ent.mean > 2.674) and (cEntropy > 0.724) and (iq_range.mean <= 34.913) and (mean.mean <= 1.209)","GR",0.005434782608696,1
"(nr_inst <= 167.000) and (eigenvalues.mean <= 30.208) and (skewness.mean > -0.359) and (sparsity.mean <= 0.361) and (iq_range.mean > 1.900)","chisquare",0.002717391304348,1
"(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst <= 347.000) and (nUnique <= 4.500) and (t_mean.mean <= 11.271) and (OutlierPerc > 0.016) and (cEntropy > 0.425) and (ena <= 2.249) and (ena <= -38.058)","GR",0.002717391304348,1
"(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst <= 347.000) and (nUnique <= 4.500) and (t_mean.mean > 11.271) and (LabelIssuesPerc <= 0.061) and (ena <= -7.065)","chisquare",0.002717391304348,1
"(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst <= 347.000) and (nUnique <= 4.500) and (t_mean.mean > 11.271) and (LabelIssuesPerc > 0.061) and (kurtosis.mean > 16.078)","GR",0.002717391304348,1
"(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst > 347.000) and (ena <= -9.286) and (LabelIssuesPerc <= 0.002) and (cov.mean > 0.000)","chisquare",0.002717391304348,1
"(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst > 347.000) and (ena > -9.286) and (Conciseness <= 0.219) and (attr_ent.mean <= 2.674) and (cEntropy <= 0.948) and (range.mean > 0.692) and (attr_to_inst > 0.065) and (nr_outliers <= 19.500)","GR",0.002717391304348,1
"(nr_inst > 167.000) and (nUnique <= 6.500) and (nr_inst > 347.000) and (ena > -9.286) and (Conciseness <= 0.219) and (attr_ent.mean <= 2.674) and (cEntropy > 0.948) and (nr_outliers > 7.000) and (t_mean.mean <= 1.372)","chisquare",0.002717391304348,1
"(nr_inst > 167.000) and (nUnique > 6.500) and (nr_cor_attr <= 0.052) and (g_mean.mean <= 0.221)","chisquare",0.002717391304348,1
